category_name,level,parent,url,product_count,scraped_at
Parlantes portátiles,3,Tecnología > Audio menor,https://www.dismac.com.bo/categorias/54-electronica/audio-menor-160/portatiles-275.html,79,2025-11-13T00:10:11.255654
Micrófonos,3,Tecnología > Audio menor,https://www.dismac.com.bo/categorias/54-electronica/audio-menor-160/microfonos-285.html,15,2025-11-13T00:10:17.814046
Hogar inteligente,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente.html,0,2025-11-13T00:10:22.428834
Camara seguridad,3,Tecnología > Hogar inteligente,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente/camara-seguridad.html,40,2025-11-13T00:10:28.234227
Cerraduras,3,Tecnología > Hogar inteligente,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente/cerraduras.html,10,2025-11-13T00:10:32.884109
Enchufes,3,Tecnología > Hogar inteligente,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente/enchufes.html,11,2025-11-13T00:10:37.731790
Iluminacion,3,Tecnología > Hogar inteligente,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente/iluminacion.html,16,2025-11-13T00:10:43.419330
Sensores,3,Tecnología > Hogar inteligente,https://www.dismac.com.bo/categorias/54-electronica/hogar-inteligente/sensores.html,32,2025-11-13T00:10:48.732191
Telefonía,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/telefonia.html,0,2025-11-13T00:10:53.294143
Accesorios telefonía,3,Tecnología > Telefonía,https://www.dismac.com.bo/categorias/54-electronica/telefonia/accesorios.html,171,2025-11-13T00:11:00.222216
Celulares,3,Tecnología > Telefonía,https://www.dismac.com.bo/categorias/54-electronica/telefonia/celulares.html,157,2025-11-13T00:11:07.348052
Smart watch,3,Tecnología > Telefonía,https://www.dismac.com.bo/categorias/54-electronica/telefonia/smartwatch.html,40,2025-11-13T00:11:12.855846
Videojuegos,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/videojuegos.html,0,2025-11-13T00:11:17.259185
Accesorios videojuegos,3,Tecnología > Videojuegos,https://www.dismac.com.bo/categorias/54-electronica/videojuegos/accesorios.html,33,2025-11-13T00:11:23.185553
Consolas,3,Tecnología > Videojuegos,https://www.dismac.com.bo/categorias/54-electronica/videojuegos/consolas.html,9,2025-11-13T00:11:28.229940
Computación,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/computacion.html,0,2025-11-13T00:11:34.339213
Accesorios computación,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/accesorios.html,235,2025-11-13T00:11:41.069331
Computadoras,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/computadoras.html,43,2025-11-13T00:11:47.781852
Etiquetadoras,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/etiquetadoras.html,7,2025-11-13T00:11:53.231917
Impresión,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/impresion.html,46,2025-11-13T00:11:59.188890
Mochilas,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/mochilas.html,176,2025-11-13T00:12:04.868769
Monitores y proyectores,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/monitores-y-proyectores.html,44,2025-11-13T00:12:11.219447
Tablets,3,Tecnología > Computación,https://www.dismac.com.bo/categorias/54-electronica/computacion/tablets.html,31,2025-11-13T00:12:17.100096
Fotografía y filmación,2,Tecnología,https://www.dismac.com.bo/categorias/54-electronica/121-fotografia-y-film.html,0,2025-11-13T00:12:21.434985
Cámaras fotográficas y filmación,3,Tecnología > Fotografía y filmación,https://www.dismac.com.bo/categorias/54-electronica/121-fotografia-y-film/camaras-fotograficas-y-filmacion.html,103,2025-11-13T00:12:26.972360
Hogar y muebles,1,,https://www.dismac.com.bo/categorias/52-hogar.html,1190,2025-11-13T00:12:43.051116
Menaje de cocina,2,Hogar y muebles,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina.html,0,2025-11-13T00:12:48.073996
Conservadores de alimentos,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/conserbadores-de-alimentos.html,36,2025-11-13T00:12:53.409248
Complemento de repostería,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/reposteria.html,2,2025-11-13T00:12:57.929824
Cuchillería y tablas,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/cuchilleria-y-tablas.html,22,2025-11-13T00:13:04.042384
Escurridores,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/escurridores.html,5,2025-11-13T00:13:08.519837
Fuentes y asaderas,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/fuentes-y-asaderas.html,16,2025-11-13T00:13:14.585056
Juego de ollas,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/juego-de-ollas.html,30,2025-11-13T00:13:20.773344
Ollas,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/ollas.html,49,2025-11-13T00:13:27.132444
Sartenes,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/sartenes.html,89,2025-11-13T00:13:33.123517
Termos,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/termos.html,110,2025-11-13T00:13:39.223397
Utensilios de cocina,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/utensilios-de-cocina.html,74,2025-11-13T00:13:44.551784
Wok,3,Hogar y muebles > Menaje de cocina,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-cocina/wok.html,12,2025-11-13T00:13:49.817998
Menaje de mesa,2,Hogar y muebles,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa.html,0,2025-11-13T00:13:54.623743
Accesorios de bar,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/accesorios-de-bar.html,4,2025-11-13T00:13:59.325615
Accesorios de mesa,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/accesorios-de-mesa.html,13,2025-11-13T00:14:04.605725
Cubiertos,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/cubiertos.html,51,2025-11-13T00:14:10.436519
Jarras y botellas,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/jarras-y-botellas.html,3,2025-11-13T00:14:15.469145
Vajillas,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/vajilla.html,2,2025-11-13T00:14:20.090494
Vasos y copas,3,Hogar y muebles > Menaje de mesa,https://www.dismac.com.bo/categorias/52-hogar/menaje-de-mesa/vasos-y-copas.html,103,2025-11-13T00:14:26.007701
Muebles,2,Hogar y muebles,https://www.dismac.com.bo/categorias/52-hogar/130-muebles.html,0,2025-11-13T00:14:30.817113
Dormitorio,3,Hogar y muebles > Muebles,https://www.dismac.com.bo/categorias/52-hogar/130-muebles/126-dormitorio.html,44,2025-11-13T00:14:36.351685
Living y comedor,3,Hogar y muebles > Muebles,https://www.dismac.com.bo/categorias/52-hogar/130-muebles/116-living.html,22,2025-11-13T00:14:42.275767
Muebles gamer,3,Hogar y muebles > Muebles,https://www.dismac.com.bo/categorias/52-hogar/130-muebles/muebles-gamer-316.html,9,2025-11-13T00:14:47.012213
Silla,3,Hogar y muebles > Muebles,https://www.dismac.com.bo/categorias/52-hogar/130-muebles/281-silla.html,6,2025-11-13T00:14:51.714992
Camas y colchones,2,Hogar y muebles,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones.html,0,2025-11-13T00:14:56.317686
Almohadas,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/93-almohadas.html,29,2025-11-13T00:15:03.653994
Bases,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/96-bases.html,104,2025-11-13T00:15:19.264786
Colchones,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/97-colchones.html,267,2025-11-13T00:15:20.676924
Colchones para mascotas,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/colchones-para-mascotas.html,0,2025-11-13T00:15:25.327002
Respaldares,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/respaldares.html,22,2025-11-13T00:15:31.234445
Sofacamas,3,Hogar y muebles > Camas y colchones,https://www.dismac.com.bo/categorias/52-hogar/126-camas-y-colchones/sofacamas.html,0,2025-11-13T00:15:35.831531
